Sample temperature (C),Heat flow (mW)
128.671,-1.39279
128.723,-1.39298
128.774,-1.39317
128.819,-1.39336
128.871,-1.39355
128.92,-1.39373
128.966,-1.39391
129.021,-1.3941
129.07,-1.39428
129.124,-1.39447
129.172,-1.39467
129.221,-1.39486
129.276,-1.39506
129.322,-1.39527
129.372,-1.39547
129.419,-1.39569
129.468,-1.3959
129.521,-1.39612
129.57,-1.39634
129.622,-1.39655
129.671,-1.39676
129.72,-1.39696
129.769,-1.39716
129.818,-1.39735
129.871,-1.39755
129.922,-1.39776
129.967,-1.39797
130.021,-1.39819
130.072,-1.39842
130.122,-1.39865
130.168,-1.39888
130.217,-1.39912
130.269,-1.39937
130.314,-1.39961
130.371,-1.39986
130.422,-1.4001
130.471,-1.40035
130.521,-1.40059
130.567,-1.40083
130.62,-1.40107
130.667,-1.4013
130.72,-1.40152
130.767,-1.40173
130.816,-1.40194
130.868,-1.40213
130.922,-1.40231
130.967,-1.40248
131.019,-1.40264
131.067,-1.40279
131.118,-1.40293
131.167,-1.40308
131.214,-1.40322
131.267,-1.40337
131.317,-1.40354
131.367,-1.40371
131.413,-1.40389
131.466,-1.40409
131.517,-1.4043
131.57,-1.40451
131.616,-1.40474
131.664,-1.40496
131.718,-1.40519
131.767,-1.40543
131.816,-1.40566
131.866,-1.40589
131.918,-1.40611
131.967,-1.40634
132.018,-1.40655
132.068,-1.40676
132.117,-1.40696
132.165,-1.40716
132.215,-1.40734
132.264,-1.40752
132.317,-1.4077
132.37,-1.40787
132.415,-1.40805
132.468,-1.40823
132.517,-1.40841
132.564,-1.4086
132.617,-1.4088
132.666,-1.409
132.712,-1.40922
132.769,-1.40944
132.816,-1.40967
132.865,-1.40992
132.917,-1.41016
132.964,-1.41042
133.019,-1.41067
133.065,-1.41091
133.116,-1.41115
133.168,-1.41138
133.214,-1.4116
133.264,-1.41182
133.317,-1.41203
133.362,-1.41224
133.416,-1.41245
133.462,-1.41267
133.512,-1.41288
133.56,-1.4131
133.614,-1.41333
133.664,-1.41356
133.714,-1.4138
133.763,-1.41404
133.817,-1.41429
133.865,-1.41454
133.915,-1.41479
133.965,-1.41504
134.012,-1.41529
134.065,-1.41552
134.115,-1.41575
134.165,-1.41596
134.217,-1.41616
134.263,-1.41635
134.313,-1.41653
134.36,-1.4167
134.414,-1.41686
134.463,-1.41701
134.515,-1.41716
134.562,-1.41732
134.613,-1.41749
134.665,-1.41766
134.714,-1.41784
134.762,-1.41803
134.812,-1.41822
134.862,-1.41842
134.912,-1.41862
134.962,-1.41883
135.014,-1.41903
135.063,-1.41923
135.109,-1.41943
135.16,-1.41962
135.207,-1.41981
135.264,-1.42
135.315,-1.42019
135.361,-1.42038
135.413,-1.42057
135.464,-1.42076
135.51,-1.42095
135.562,-1.42115
135.613,-1.42135
135.66,-1.42156
135.714,-1.42177
135.76,-1.42199
135.816,-1.42223
135.864,-1.42247
135.912,-1.42272
135.962,-1.42298
136.01,-1.42325
136.059,-1.42352
136.113,-1.42379
136.163,-1.42406
136.21,-1.42432
136.263,-1.42456
136.309,-1.4248
136.364,-1.42503
136.414,-1.42524
136.46,-1.42545
136.512,-1.42566
136.561,-1.42586
136.615,-1.42605
136.661,-1.42625
136.712,-1.42645
136.759,-1.42665
136.811,-1.42685
136.861,-1.42706
136.912,-1.42727
136.961,-1.42748
137.009,-1.42769
137.062,-1.4279
137.109,-1.42812
137.163,-1.42834
137.209,-1.42856
137.257,-1.42879
137.313,-1.42901
137.358,-1.42924
137.412,-1.42946
137.458,-1.42967
137.511,-1.42988
137.561,-1.43009
137.606,-1.43029
137.66,-1.43048
137.712,-1.43067
137.763,-1.43084
137.807,-1.43102
137.86,-1.43118
137.907,-1.43135
137.962,-1.43151
138.011,-1.43168
138.062,-1.43185
138.11,-1.43202
138.16,-1.43219
138.215,-1.43237
138.259,-1.43256
138.31,-1.43276
138.365,-1.43296
138.411,-1.43317
138.458,-1.43338
138.509,-1.43359
138.56,-1.4338
138.61,-1.43401
138.656,-1.43421
138.708,-1.43441
138.761,-1.4346
138.808,-1.43478
138.859,-1.43496
138.909,-1.43515
