Time (min),Temperature (°C),Heat Flow (W/g)
1.03,34.4,-0.1693350830
1.03,34.42,-0.1693597870
1.03,34.44,-0.1693842926
1.03,34.45,-0.1694090424
1.03,34.47,-0.1694334869
1.03,34.49,-0.1694570465
1.03,34.5,-0.1694805450
1.04,34.52,-0.1695041809
1.04,34.54,-0.1695283203
1.04,34.55,-0.1695516052
1.04,34.57,-0.1695741730
1.04,34.59,-0.1695972290
1.05,34.6,-0.1696208038
1.05,34.62,-0.1696445923
1.05,34.64,-0.1696697998
1.05,34.65,-0.1696939240
1.05,34.67,-0.1697182159
1.05,34.69,-0.1697420959
1.05,34.7,-0.1697653351
1.06,34.72,-0.1697875214
1.06,34.74,-0.1698099060
1.06,34.75,-0.1698317719
1.06,34.77,-0.1698541565
1.06,34.79,-0.1698765259
1.07,34.8,-0.1698991089
1.07,34.82,-0.1699221497
1.07,34.84,-0.1699457397
1.07,34.85,-0.1699694672
1.07,34.87,-0.1699922943
1.07,34.88,-0.1700142822
1.08,34.9,-0.1700358887
1.08,34.92,-0.1700583496
1.08,34.94,-0.1700811768
1.08,34.95,-0.1701042175
1.08,34.97,-0.1701271057
1.08,34.98,-0.1701504974
1.08,35,-0.1701729279
1.09,35.02,-0.1701952209
1.09,35.04,-0.1702171478
1.09,35.05,-0.1702391968
1.09,35.07,-0.1702606201
1.09,35.08,-0.1702823639
1.09,35.1,-0.1703036652
1.1,35.12,-0.1703250580
1.1,35.13,-0.1703473511
1.1,35.15,-0.1703698425
1.1,35.17,-0.1703926239
1.1,35.18,-0.1704151764
1.11,35.2,-0.1704377441
1.11,35.22,-0.1704601440
1.11,35.23,-0.1704830322
1.11,35.25,-0.1705062866
1.11,35.27,-0.1705295105
1.11,35.28,-0.1705509033
1.12,35.3,-0.1705725555
1.12,35.32,-0.1705953522
1.12,35.33,-0.1706182251
1.12,35.35,-0.1706404877
1.12,35.37,-0.1706612091
1.12,35.38,-0.1706827850
1.13,35.4,-0.1707044373
1.13,35.42,-0.1707270813
1.13,35.43,-0.1707491150
1.13,35.45,-0.1707708130
1.13,35.47,-0.1707918396
1.13,35.48,-0.1708123627
1.13,35.5,-0.1708342896
1.14,35.52,-0.1708557281
1.14,35.53,-0.1708768463
1.14,35.55,-0.1708974304
1.14,35.57,-0.1709187622
1.14,35.58,-0.1709407959
1.14,35.6,-0.1709626770
