Temperaturee (°C),Heat flow (W/g)
83.2311,-0.0821745
83.2481,-0.0821722
83.2647,-0.0821688
83.2817,-0.0821643
83.2973,-0.0821591
83.3152,-0.082156
83.3314,-0.0821542
83.3481,-0.0821524
83.3648,-0.0821509
83.3812,-0.0821493
83.3981,-0.0821466
83.4154,-0.0821436
83.4318,-0.0821405
83.4478,-0.082137
83.4637,-0.0821334
83.4812,-0.0821284
83.4981,-0.0821248
83.5142,-0.0821213
83.5311,-0.0821178
83.5477,-0.0821139
83.5642,-0.0821105
83.5812,-0.0821062
83.5978,-0.082101
83.6145,-0.0820977
83.6311,-0.0820961
83.6483,-0.0820971
83.6647,-0.082098
83.6801,-0.0821005
83.6983,-0.0821004
83.7148,-0.0820989
83.7317,-0.082097
83.7482,-0.0820935
83.7652,-0.0820882
83.7806,-0.0820816
83.7973,-0.082074
83.815,-0.0820683
83.831,-0.0820624
83.8477,-0.0820588
83.8643,-0.0820567
83.8806,-0.0820541
83.8976,-0.082053
83.9139,-0.0820513
83.9307,-0.0820514
83.9482,-0.0820504
83.9641,-0.0820492
83.9814,-0.0820472
83.9982,-0.0820455
84.0151,-0.0820438
84.0306,-0.0820403
84.0479,-0.082038
84.0647,-0.0820325
84.0812,-0.0820268
84.0979,-0.082022
84.1148,-0.0820198
84.1315,-0.0820182
84.1468,-0.0820163
84.1637,-0.0820135
84.1815,-0.0820117
84.198,-0.0820121
84.2146,-0.0820118
84.2308,-0.0820132
84.2471,-0.082015
84.2645,-0.0820151
84.2816,-0.0820151
84.2974,-0.0820141
84.3142,-0.0820137
84.3307,-0.0820122
84.348,-0.0820101
84.3641,-0.0820063
84.3808,-0.0820022
84.3976,-0.0819991
84.4141,-0.0819966
84.4312,-0.0819953
84.4485,-0.0819948
84.465,-0.0819968
84.4816,-0.0819985
84.4986,-0.0819997
84.5142,-0.0819998
84.5309,-0.0819996
84.548,-0.0819986
84.5649,-0.0819976
84.581,-0.0819963
84.5975,-0.0819947
84.6145,-0.0819928
84.6307,-0.0819885
84.6471,-0.0819844
84.6633,-0.0819812
84.6808,-0.0819768
84.6975,-0.0819725
84.7139,-0.0819705
84.7306,-0.0819685
84.7476,-0.081967
84.7644,-0.0819643
84.7815,-0.0819617
84.7966,-0.0819587
84.8143,-0.0819576
84.8312,-0.0819577
84.8469,-0.0819565
84.8639,-0.0819582
84.8811,-0.0819595
84.8981,-0.0819591
84.9137,-0.0819575
84.9311,-0.0819575
84.9496,-0.0819567
84.9657,-0.0819552
84.982,-0.0819526
84.9984,-0.081948
85.0154,-0.0819441
85.031,-0.0819408
85.0483,-0.0819415
85.0648,-0.0819386
85.0807,-0.0819377
