Temperaturee (°C),Heat flow (W/g)
83.1521,-0.250847
83.1689,-0.250841
83.1849,-0.250835
83.2016,-0.250827
83.2183,-0.250816
83.2355,-0.250803
83.2521,-0.250798
83.2679,-0.250794
83.2848,-0.25079
83.3019,-0.250786
83.3189,-0.250782
83.3357,-0.250781
83.3518,-0.250782
83.3687,-0.250779
83.3847,-0.250778
83.4024,-0.250776
83.4186,-0.250772
83.4347,-0.250771
83.4517,-0.250766
83.4681,-0.250764
83.485,-0.250756
83.5013,-0.250744
83.5179,-0.250736
83.5351,-0.250728
83.5521,-0.250717
83.5682,-0.250705
83.5854,-0.250697
83.6017,-0.250689
83.6178,-0.250678
83.6349,-0.250672
83.6513,-0.250668
83.6679,-0.250662
83.6838,-0.250657
83.7012,-0.250655
83.7182,-0.25065
83.7345,-0.250653
83.7519,-0.25066
83.7679,-0.250665
83.7849,-0.250665
83.8017,-0.250664
83.8195,-0.250666
83.8347,-0.250664
83.8521,-0.250669
83.8679,-0.250675
83.884,-0.250675
83.9018,-0.250667
83.9175,-0.250661
83.9354,-0.250652
83.9523,-0.250645
83.9676,-0.250646
83.9849,-0.250647
84.0012,-0.250642
84.0175,-0.250628
84.035,-0.250622
84.0518,-0.250626
84.0684,-0.250623
84.0844,-0.250605
84.1013,-0.250592
84.1185,-0.250571
84.1347,-0.250557
84.1514,-0.250553
84.1673,-0.250544
84.185,-0.250534
84.2013,-0.250531
84.2183,-0.250531
84.2351,-0.250535
84.2508,-0.250548
84.2683,-0.250554
84.2848,-0.250559
84.3012,-0.250554
84.3189,-0.250545
84.336,-0.250538
84.3516,-0.250531
84.3676,-0.250527
84.3847,-0.250521
84.4017,-0.250516
84.4179,-0.250517
84.4344,-0.250514
84.4516,-0.250507
84.468,-0.250497
84.4851,-0.250486
84.5011,-0.250474
84.5182,-0.250462
84.5332,-0.250453
84.5514,-0.250449
84.5676,-0.250446
84.5841,-0.250448
84.6012,-0.250454
84.618,-0.250461
84.6351,-0.250466
84.6513,-0.250468
84.6684,-0.250469
84.685,-0.250471
84.7008,-0.250476
84.7192,-0.250477
84.7355,-0.250483
