Wavenumber (cm-1),Intensity
1697.05,2.32E-04
1698.02,6.61E-04
1698.98,9.77E-04
1699.94,0.00104388
1700.91,9.12E-04
1701.87,7.04E-04
1702.84,5.13E-04
1703.8,3.87E-04
1704.76,3.36E-04
1705.73,3.26E-04
1706.69,2.96E-04
1707.66,1.97E-04
1708.62,2.64E-05
1709.59,-1.86E-04
1710.55,-4.01E-04
1711.51,-5.88E-04
1712.48,-7.17E-04
1713.44,-7.49E-04
1714.41,-6.15E-04
1715.37,-2.23E-04
1716.34,4.15E-04
1717.3,9.64E-04
1718.26,0.00106319
1719.23,8.10E-04
1720.19,4.60E-04
1721.16,1.50E-04
1722.12,-7.78E-05
1723.09,-2.18E-04
1724.05,-2.87E-04
1725.01,-3.13E-04
1725.98,-3.32E-04
1726.94,-3.69E-04
1727.91,-4.37E-04
1728.87,-5.26E-04
1729.84,-6.12E-04
1730.8,-6.48E-04
1731.76,-5.69E-04
1732.73,-3.34E-04
1733.69,-2.74E-05
1734.66,1.62E-04
1735.62,1.53E-04
1736.58,2.83E-05
1737.55,-9.89E-05
1738.51,-1.61E-04
1739.48,-1.42E-04
1740.44,-7.71E-05
1741.41,-3.99E-05
1742.37,-9.58E-05
1743.33,-2.54E-04
1744.3,-4.71E-04
1745.26,-6.78E-04
1746.23,-8.06E-04
1747.19,-7.87E-04
1748.16,-5.84E-04
1749.12,-2.52E-04
1750.08,2.63E-05
1751.05,8.62E-05
1752.01,-6.97E-05
1752.98,-3.34E-04
1753.94,-6.07E-04
1754.91,-8.25E-04
1755.87,-9.55E-04
1756.83,-9.89E-04
1757.8,-9.40E-04
1758.76,-8.31E-04
1759.73,-6.83E-04
1760.69,-5.26E-04
1761.65,-4.04E-04
1762.62,-3.70E-04
1763.58,-4.49E-04
1764.55,-6.17E-04
1765.51,-8.23E-04
1766.48,-0.00101529
1767.44,-0.00115172
1768.4,-0.0012043
1769.37,-0.00115391
1770.33,-9.89E-04
1771.3,-7.24E-04
1772.26,-4.32E-04
1773.23,-2.33E-04
1774.19,-1.93E-04
1775.15,-2.85E-04
1776.12,-4.46E-04
1777.08,-6.21E-04
1778.05,-7.68E-04
1779.01,-8.55E-04
1779.98,-8.62E-04
1780.94,-7.99E-04
1781.9,-7.00E-04
1782.87,-6.13E-04
1783.83,-5.75E-04
1784.8,-6.06E-04
1785.76,-7.01E-04
1786.72,-8.36E-04
1787.69,-9.75E-04
1788.65,-0.00106907
1789.62,-0.00106765
1790.58,-9.22E-04
1791.55,-6.28E-04
1792.51,-2.87E-04
1793.47,-7.43E-05
1794.44,-6.76E-05
1795.4,-2.09E-04
1796.37,-4.03E-04
1797.33,-5.82E-04
1798.3,-7.05E-04
1799.26,-7.51E-04
1800.22,-7.26E-04
1801.19,-6.69E-04
1802.15,-6.36E-04
1803.12,-6.63E-04
1804.08,-7.51E-04
1805.05,-8.73E-04
1806.01,-9.91E-04
1806.97,-0.00106527
1807.94,-0.00105935
1808.9,-9.55E-04
1809.87,-7.74E-04
1810.83,-5.81E-04
1811.79,-4.57E-04
1812.76,-4.45E-04
1813.72,-5.30E-04
1814.69,-6.63E-04
1815.65,-7.96E-04
1816.62,-8.97E-04
1817.58,-9.55E-04
1818.54,-9.80E-04
1819.51,-9.94E-04
1820.47,-0.00101052
1821.44,-0.00103086
1822.4,-0.00104521
1823.37,-0.00104285
1824.33,-0.00102066
1825.29,-9.83E-04
1826.26,-9.34E-04
1827.22,-8.67E-04
