Wavenumber (cm-1),Intensity
1592.91,0.0299036
1593.88,0.0259671
1594.84,0.0222738
1595.81,0.0190684
1596.77,0.0164925
1597.73,0.0145415
1598.7,0.0131118
1599.66,0.0120856
1600.63,0.0113857
1601.59,0.0109762
1602.56,0.0108237
1603.52,0.0108597
1604.48,0.0109801
1605.45,0.0110759
1606.41,0.0110527
1607.38,0.0108282
1608.34,0.0103391
1609.31,0.00958383
1610.27,0.00865243
1611.23,0.00767807
1612.2,0.00675629
1613.16,0.00592159
1614.13,0.00517896
1615.09,0.00454891
1616.06,0.00409056
1617.02,0.00384545
1617.98,0.00374522
1618.95,0.00367509
1619.91,0.00359399
1620.88,0.00353318
1621.84,0.00354708
1622.8,0.00366719
1623.77,0.00385706
1624.73,0.00402119
1625.7,0.00409495
1626.66,0.00410358
1627.63,0.00411719
1628.59,0.00417674
1629.55,0.00426486
1630.52,0.00433576
1631.48,0.00436636
1632.45,0.00438746
1633.41,0.00450353
1634.38,0.00491743
1635.34,0.00586848
1636.3,0.00726384
1637.27,0.00851081
1638.23,0.00931958
1639.2,0.00990724
1640.16,0.0104776
1641.13,0.0110689
1642.09,0.0116408
1643.05,0.0121849
1644.02,0.0128401
1644.98,0.0140063
1645.95,0.016265
1646.91,0.0196008
1647.88,0.0226479
1648.84,0.0241665
1649.8,0.0243514
1650.77,0.0240351
1651.73,0.024189
1652.7,0.0259887
1653.66,0.0295584
1654.62,0.0324317
1655.59,0.033158
1656.55,0.0326106
1657.52,0.0316663
1658.48,0.0306825
1659.45,0.029758
1660.41,0.0288892
1661.37,0.0280175
1662.34,0.0270659
1663.3,0.0260092
1664.27,0.0248958
1665.23,0.0237707
1666.2,0.0226173
1667.16,0.0213644
1668.12,0.0199236
1669.09,0.0182749
1670.05,0.0165823
1671.02,0.0151042
1671.98,0.0138865
1672.95,0.01275
1673.91,0.0115354
1674.87,0.0102325
1675.84,0.00896566
1676.8,0.00787719
1677.77,0.00700442
1678.73,0.00628248
1679.69,0.00563153
1680.66,0.00501367
1681.62,0.00444559
1682.59,0.00399148
1683.55,0.00371008
1684.52,0.00353169
1685.48,0.00329674
1686.44,0.00297298
1687.41,0.00263084
1688.37,0.00232401
1689.34,0.00206427
1690.3,0.00183906
1691.27,0.0016297
1692.23,0.00142149
1693.19,0.00120632
1694.16,9.83E-04
1695.12,7.66E-04
1696.09,6.04E-04
1697.05,5.94E-04
1698.02,8.25E-04
1698.98,0.00121868
1699.94,0.00154821
1700.91,0.00167558
1701.87,0.00162524
1702.84,0.00148699
1703.8,0.00134648
1704.76,0.00126239
1705.73,0.00125052
1706.69,0.00127528
1707.66,0.00127377
1708.62,0.00120178
1709.59,0.00105173
1710.55,8.39E-04
1711.51,5.84E-04
1712.48,3.14E-04
1713.44,6.82E-05
1714.41,-7.62E-05
1715.37,2.55E-05
1716.34,5.09E-04
1717.3,0.00119639
1718.26,0.00162728
1719.23,0.00167782
1720.19,0.00152531
1721.16,0.00132273
1722.12,0.00114191
1723.09,0.00100915
1724.05,9.28E-04
1725.01,8.85E-04
1725.98,8.63E-04
1726.94,8.38E-04
1727.91,7.94E-04
1728.87,7.22E-04
1729.84,6.24E-04
1730.8,5.22E-04
1731.76,4.69E-04
1732.73,5.36E-04
1733.69,7.31E-04
1734.66,9.39E-04
1735.62,0.00104456
1736.58,0.00104823
1737.55,0.00101046
1738.51,9.81E-04
1739.48,9.74E-04
1740.44,9.70E-04
1741.41,9.23E-04
1742.37,8.05E-04
1743.33,6.27E-04
1744.3,4.33E-04
1745.26,2.69E-04
1746.23,1.77E-04
1747.19,1.95E-04
1748.16,3.53E-04
1749.12,6.34E-04
1750.08,9.25E-04
1751.05,0.00109509
1752.01,0.00111
1752.98,0.00101522
1753.94,8.66E-04
1754.91,6.98E-04
1755.87,5.28E-04
1756.83,3.70E-04
1757.8,2.38E-04
1758.76,1.59E-04
1759.73,1.66E-04
1760.69,2.69E-04
1761.65,4.36E-04
1762.62,5.86E-04
1763.58,6.38E-04
1764.55,5.67E-04
1765.51,4.00E-04
1766.48,1.85E-04
1767.44,-2.63E-05
1768.4,-1.90E-04
1769.37,-2.60E-04
1770.33,-1.82E-04
1771.3,7.84E-05
1772.26,4.71E-04
1773.23,8.30E-04
1774.19,0.00101462
1775.15,0.00101328
1776.12,8.92E-04
1777.08,7.19E-04
1778.05,5.48E-04
1779.01,4.19E-04
1779.98,3.54E-04
1780.94,3.58E-04
1781.9,4.12E-04
1782.87,4.92E-04
1783.83,5.72E-04
1784.8,6.24E-04
1785.76,6.24E-04
1786.72,5.60E-04
1787.69,4.38E-04
1788.65,2.87E-04
1789.62,1.58E-04
1790.58,1.16E-04
1791.55,2.18E-04
1792.51,4.39E-04
1793.47,6.48E-04
1794.44,7.30E-04
1795.4,6.76E-04
1796.37,5.45E-04
1797.33,3.97E-04
1798.3,2.78E-04
1799.26,2.22E-04
1800.22,2.46E-04
1801.19,3.32E-04
1802.15,4.36E-04
1803.12,5.10E-04
1804.08,5.30E-04
1805.05,4.95E-04
1806.01,4.23E-04
1806.97,3.43E-04
1807.94,2.92E-04
1808.9,3.04E-04
1809.87,3.87E-04
1810.83,5.06E-04
1811.79,5.97E-04
1812.76,6.08E-04
1813.72,5.39E-04
1814.69,4.23E-04
1815.65,3.03E-04
1816.62,2.14E-04
1817.58,1.66E-04
1818.54,1.45E-04
