Temperature (°C),Heat flow (W/g)
87.73,-0.228
87.75,-0.228
87.77,-0.228
87.78,-0.228
87.8,-0.228
87.82,-0.228
87.83,-0.228
87.85,-0.228
87.87,-0.228
87.88,-0.228
87.9,-0.228
87.92,-0.228
87.93,-0.228
87.95,-0.228
87.97,-0.228
87.98,-0.228
88.0,-0.228
88.02,-0.228
88.03,-0.228
88.05,-0.228
88.07,-0.228
88.08,-0.228
88.1,-0.228
88.12,-0.228
88.13,-0.228
88.15,-0.228
88.17,-0.228
88.18,-0.228
88.2,-0.228
88.22,-0.228
88.23,-0.228
88.25,-0.228
88.27,-0.228
88.28,-0.228
88.3,-0.228
88.32,-0.228
88.33,-0.228
88.35,-0.228
88.37,-0.228
88.38,-0.228
88.4,-0.228
88.42,-0.228
88.43,-0.228
88.45,-0.228
88.47,-0.228
88.48,-0.228
88.5,-0.229
88.52,-0.229
88.53,-0.229
88.55,-0.229
88.57,-0.229
88.58,-0.229
88.6,-0.229
88.62,-0.229
88.63,-0.229
88.65,-0.229
88.67,-0.229
88.68,-0.229
88.7,-0.229
88.72,-0.229
88.73,-0.229
88.75,-0.229
88.77,-0.229
88.78,-0.229
88.8,-0.229
88.82,-0.229
88.83,-0.229
88.85,-0.229
88.87,-0.229
88.88,-0.229
88.9,-0.229
88.92,-0.229
88.93,-0.229
88.95,-0.229
88.97,-0.229
88.98,-0.229
89.0,-0.229
89.02,-0.229
89.03,-0.229
89.05,-0.229
89.07,-0.229
89.08,-0.229
89.1,-0.229
89.12,-0.229
89.13,-0.229
89.15,-0.229
89.17,-0.229
89.18,-0.229
89.2,-0.229
89.22,-0.229
89.23,-0.229
89.25,-0.229
89.27,-0.229
89.28,-0.229
89.3,-0.229
89.32,-0.229
89.33,-0.229
89.35,-0.229
89.37,-0.229
89.39,-0.229
89.4,-0.229
89.42,-0.229
89.43,-0.229
89.45,-0.229
89.47,-0.229
89.48,-0.229
89.5,-0.229
89.52,-0.229
89.53,-0.229
89.55,-0.229
89.57,-0.229
89.58,-0.229
89.6,-0.229
89.62,-0.229
89.63,-0.229
89.65,-0.229
89.67,-0.229
89.68,-0.229
89.7,-0.229
89.72,-0.229
89.73,-0.229
89.75,-0.229
89.77,-0.229
89.78,-0.229
89.8,-0.229
89.82,-0.229
89.83,-0.229
89.85,-0.229
89.87,-0.229
89.88,-0.229
89.9,-0.229
89.92,-0.229
89.93,-0.229
89.95,-0.229
89.97,-0.229
89.98,-0.229
90.0,-0.229
90.02,-0.229
90.03,-0.229
90.05,-0.229
90.07,-0.229
90.08,-0.229
90.1,-0.229
90.12,-0.229
90.13,-0.229
90.15,-0.229
90.17,-0.229
90.18,-0.229
90.2,-0.229
90.22,-0.229
90.23,-0.229
90.25,-0.229
90.27,-0.229
90.28,-0.229
90.3,-0.229
90.32,-0.229
90.33,-0.229
90.35,-0.229
90.37,-0.229
90.38,-0.229
90.4,-0.229
