Temperaturee (°C),Heat flow (W/g)
1.51,39.25,-0.129392548
1.51,39.27,-0.129403458
1.52,39.29,-0.129414963
1.52,39.3,-0.12942778
1.52,39.32,-0.129439987
1.52,39.34,-0.12945137
1.52,39.35,-0.129463547
1.52,39.37,-0.129475449
1.53,39.39,-0.129486893
1.53,39.4,-0.12949852
1.53,39.42,-0.129510315
1.53,39.44,-0.129521835
1.53,39.45,-0.12953273
1.53,39.47,-0.129543411
1.53,39.49,-0.12955455
1.54,39.51,-0.129564682
1.54,39.52,-0.129574204
1.54,39.54,-0.129583878
1.54,39.55,-0.129594345
1.54,39.57,-0.129604553
1.54,39.59,-0.129614258
1.55,39.6,-0.129624756
